,precision,recall,f1-score,support
Apple___Apple_scab,0.9841269841269841,0.9841269841269841,0.9841269841269841,63.0
Apple___Black_rot,1.0,0.9838709677419355,0.991869918699187,62.0
Apple___Cedar_apple_rust,1.0,0.9629629629629629,0.9811320754716981,27.0
Apple___healthy,0.9702380952380952,0.9878787878787879,0.978978978978979,165.0
Blueberry___healthy,1.0,1.0,1.0,150.0
Cherry___healthy,1.0,1.0,1.0,85.0
Cherry___Powdery_mildew,1.0,0.9904761904761905,0.9952153110047847,105.0
Corn___Cercospora_leaf_spot Gray_leaf_spot,0.9285714285714286,0.7647058823529411,0.8387096774193549,51.0
Corn___Common_rust,1.0,0.9916666666666667,0.99581589958159,120.0
Corn___healthy,1.0,0.9827586206896551,0.991304347826087,116.0
Corn___Northern_Leaf_Blight,0.8727272727272727,0.9795918367346939,0.9230769230769231,98.0
Grape___Black_rot,1.0,0.9915254237288136,0.9957446808510638,118.0
Grape___Esca_(Black_Measles),0.9928571428571429,1.0,0.996415770609319,139.0
Grape___healthy,1.0,1.0,1.0,42.0
Grape___Leaf_blight_(Isariopsis_Leaf_Spot),1.0,1.0,1.0,108.0
Orange___Haunglongbing_(Citrus_greening),0.9981884057971014,1.0,0.99909338168631,551.0
Peach___Bacterial_spot,0.9956709956709957,1.0,0.9978308026030369,230.0
Peach___healthy,0.972972972972973,1.0,0.9863013698630136,36.0
"Pepper,_bell___Bacterial_spot",1.0,0.98989898989899,0.9949238578680203,99.0
"Pepper,_bell___healthy",1.0,0.9864864864864865,0.9931972789115646,148.0
Potato___Early_blight,0.9523809523809523,1.0,0.975609756097561,100.0
Potato___healthy,1.0,0.8666666666666667,0.9285714285714286,15.0
Potato___Late_blight,0.98,0.98,0.98,100.0
Raspberry___healthy,1.0,0.972972972972973,0.9863013698630136,37.0
Soybean___healthy,0.9921875,0.9980353634577603,0.9951028403525954,509.0
Squash___Powdery_mildew,1.0,1.0,1.0,184.0
Strawberry___healthy,1.0,1.0,1.0,45.0
Strawberry___Leaf_scorch,1.0,1.0,1.0,111.0
Tomato___Bacterial_spot,0.9902912621359223,0.9577464788732394,0.9737470167064439,213.0
Tomato___Early_blight,0.9540229885057471,0.83,0.8877005347593583,100.0
Tomato___healthy,0.9034090909090909,1.0,0.9492537313432836,159.0
Tomato___Late_blight,0.9432989690721649,0.9581151832460733,0.9506493506493506,191.0
Tomato___Leaf_Mold,1.0,0.9263157894736842,0.9617486338797814,95.0
Tomato___Septoria_leaf_spot,0.9823529411764705,0.943502824858757,0.962536023054755,177.0
Tomato___Spider_mites Two-spotted_spider_mite,0.9518072289156626,0.9404761904761905,0.9461077844311377,168.0
Tomato___Target_Spot,0.8535031847133758,0.950354609929078,0.8993288590604027,141.0
Tomato___Tomato_mosaic_virus,1.0,0.9459459459459459,0.9722222222222222,37.0
Tomato___Tomato_Yellow_Leaf_Curl_Virus,0.99812382739212,0.9925373134328358,0.9953227315247896,536.0
accuracy,0.9802982876081753,0.9802982876081753,0.9802982876081753,0.9802982876081753
macro avg,0.9793876642937763,0.9699636615546923,0.973893145818264,5431.0
weighted avg,0.981134309763429,0.9802982876081753,0.980273348492548,5431.0
